Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Source Latitude,Source Longitude,Source Region,Destination Latitude,Destination Longitude,Destination Region,Computed Length (km),Length Diff (km),Distance Category
1,2,1,Achimota Substation,2,Tema Substation,11,25.2,215.0,Active,Underground,5.6085,-0.2193,Greater Accra,5.6596,-0.0226,Greater Accra,22.5122344917246,2.687765508275397,Short
2,2,1,Achimota Substation,3,Mallam Substation,11,11.0,36.4,Active,Overhead,5.6085,-0.2193,Greater Accra,5.563,-0.2971,Greater Accra,9.98088821542236,1.0191117845776407,Short
3,3,1,Achimota Substation,5,Kaneshie Substation,11,5.9,277.4,Active,Overhead,5.6085,-0.2193,Greater Accra,5.5691,-0.2413,Greater Accra,4.992498720014161,0.9075012799858396,Short
4,1,2,Tema Substation,3,Mallam Substation,330,34.4,39.0,Active,Underground,5.6596,-0.0226,Greater Accra,5.563,-0.2971,Greater Accra,32.23336724891878,2.1666327510812167,Short
5,3,2,Tema Substation,4,Legon Substation,161,19.5,186.5,Active,Underground,5.6596,-0.0226,Greater Accra,5.6401,-0.1799,Greater Accra,17.5589736972104,1.9410263027895984,Short
6,2,3,Mallam Substation,4,Legon Substation,161,17.1,220.5,Active,Underground,5.563,-0.2971,Greater Accra,5.6401,-0.1799,Greater Accra,15.533774611401205,1.566225388598797,Short
7,3,3,Mallam Substation,5,Kaneshie Substation,161,7.0,108.5,Active,Overhead,5.563,-0.2971,Greater Accra,5.5691,-0.2413,Greater Accra,6.219226328810708,0.7807736711892916,Short
8,3,3,Mallam Substation,6,Aboadze Junction Substation,161,22.4,298.9,Under Maintenance,Overhead,5.563,-0.2971,Greater Accra,5.5921,-0.1439,Greater Accra,17.27629275814118,5.123707241858817,Short
9,1,4,Legon Substation,5,Kaneshie Substation,161,13.4,266.6,Active,Underground,5.6401,-0.1799,Greater Accra,5.5691,-0.2413,Greater Accra,10.38851597090923,3.01148402909077,Short
10,2,4,Legon Substation,6,Aboadze Junction Substation,161,8.4,217.0,Active,Overhead,5.6401,-0.1799,Greater Accra,5.5921,-0.1439,Greater Accra,6.639499052444794,1.7605009475552065,Short
11,1,7,Kumasi Central Substation,10,Mampong Substation,69,53.3,269.1,Active,Overhead,6.6856,-1.623,Ashanti,7.0553,-1.4029,Ashanti,47.57501378643845,5.724986213561543,Medium
12,3,7,Kumasi Central Substation,11,Konongo Substation,69,50.4,116.0,Active,Underground,6.6856,-1.623,Ashanti,6.6094,-1.2163,Ashanti,45.75400147685822,4.6459985231417775,Medium
13,2,8,Ejisu Substation,9,Obuasi Substation,33,76.1,256.9,Active,Underground,6.7128,-1.4716,Ashanti,6.2091,-1.6557,Ashanti,59.3091732677362,16.790826732263795,Medium
14,2,8,Ejisu Substation,11,Konongo Substation,69,37.8,198.4,Active,Underground,6.7128,-1.4716,Ashanti,6.6094,-1.2163,Ashanti,30.45735124760209,7.342648752397899,Short
15,1,9,Obuasi Substation,11,Konongo Substation,33,71.0,284.6,Active,Overhead,6.2091,-1.6557,Ashanti,6.6094,-1.2163,Ashanti,65.74667081230585,5.253329187694149,Medium
16,2,10,Mampong Substation,11,Konongo Substation,69,64.2,61.5,Active,Underground,7.0553,-1.4029,Ashanti,6.6094,-1.2163,Ashanti,53.45182562204576,10.748174377954244,Medium
17,1,12,Takoradi Substation,13,Aboadze Substation,33,12.3,78.8,Active,Overhead,4.9048,-1.7562,Western,4.9905,-1.7714,Western,9.625693446737037,2.6743065532629657,Short
18,3,12,Takoradi Substation,14,Tarkwa Substation,33,66.2,133.8,Active,Overhead,4.9048,-1.7562,Western,5.3093,-1.9927,Western,51.85079394949926,14.34920605050074,Medium
19,1,13,Aboadze Substation,14,Tarkwa Substation,33,55.8,247.0,Active,Overhead,4.9905,-1.7714,Western,5.3093,-1.9927,Western,42.951882980390494,12.848117019609504,Medium
20,2,13,Aboadze Substation,15,Axim Substation,33,66.4,135.3,Active,Overhead,4.9905,-1.7714,Western,4.8747,-2.2381,Western,53.32213678068143,13.077863219318573,Medium
