Utility,Line Count,Total Length (km),Avg Line Length (km),Total Line Capacity (MVA),Regions Touched,WAPP Connections
Electricity Company of Ghana,10,592.1,59.21,1672.7000000000003,6,0
Northern Electricity Distribution Company,14,873.7,62.40714285714286,2746.9,7,0
Ghana Grid Company,24,2829.2,117.88333333333333,6037.1,10,0
Volta River Authority,0,0.0,0.0,0.0,0,0
Compagnie Ivoirienne d'Electricite,2,376.5,188.25,469.6,3,2
Communaute Electrique du Benin,3,311.70000000000005,103.90000000000002,857.9,4,3
Societe Beninoise d'Energie Electrique,0,0.0,0.0,0.0,0,0
Electricite de Guinee,0,0.0,0.0,0.0,0,0
Sonabel,2,479.0,239.5,447.8,3,2
Enclave Power Company,0,0.0,0.0,0.0,0,0
